Метод,x,y,Погрешность
Euler,1.0,1.0,0.0
Euler,2.0,3.0,0.75
Euler,3.0,8.0,3.1875
Euler,4.0,19.0,10.171875
Euler,5.0,42.0,28.88671875
Euler,6.0,89.0,76.9951171875
Runge-Kutta 4-го порядка,1.0,1.0,0.0
Runge-Kutta 4-го порядка,2.0,5.125,0.0018025716145833334
Runge-Kutta 4-го порядка,3.0,18.005208333333336,0.009780175901121405
Runge-Kutta 4-го порядка,4.0,54.597439236111114,0.03979811170774875
Runge-Kutta 4-го порядка,5.0,155.4097312644676,0.1439547980305008
Runge-Kutta 4-го порядка,6.0,430.15135550793315,0.488159222127778
Milne,1.0,1.0,
Milne,2.0,5.125,
Milne,3.0,18.005208333333336,
Milne,4.0,54.597439236111114,
Milne,5.0,154.2211612654321,
Milne,6.0,424.2910450960219,
