Метод,x,y,Погрешность
Euler,1.0,1.0,0.0
Euler,1.125,1.125,0.0
Euler,1.25,1.283203125,0.0
Euler,1.3125,1.380859375,0.0
Euler,1.375,1.488525390625,0.0
Euler,1.4375,1.606689453125,0.0
Euler,1.5,1.73583984375,0.0
Euler,1.5625,1.87646484375,0.0
Euler,1.625,2.029052734375,0.0
Euler,1.6875,2.194091796875,0.0
Euler,1.75,2.3720703125,0.0
Euler,1.8125,2.5634765625,0.0
Euler,1.875,2.768798828125,0.0
Euler,1.9375,2.988525390625,0.0
Euler,2.0,3.22314453125,0.0
Euler,2.0625,3.47314453125,0.0
Euler,2.125,3.739013671875,0.0
Euler,2.1875,4.021240234375,0.0
Euler,2.25,4.3203125,0.0
Euler,2.3125,4.63671875,0.0
Euler,2.375,4.970947265625,0.0
Euler,2.4375,5.323486328125,0.0
Euler,2.5,5.69482421875,0.0
Euler,2.5625,6.08544921875,0.0
Euler,2.625,6.495849609375,0.0
Euler,2.6875,6.926513671875,0.0
Euler,2.75,7.3779296875,0.0
Euler,2.8125,7.8505859375,0.0
Euler,2.875,8.344970703125,0.0
Euler,2.9375,8.861572265625,0.0
Euler,3.0,9.40087890625,0.0
Euler,3.0625,9.96337890625,0.0
Euler,3.125,10.549560546875,0.0
Euler,3.1875,11.159912109375,0.0
Euler,3.25,11.794921875,0.0
Euler,3.3125,12.455078125,0.0
Euler,3.375,13.140869140625,0.0
Euler,3.4375,13.852783203125,0.0
Euler,3.5,14.59130859375,0.0
Euler,3.5625,15.35693359375,0.0
Euler,3.625,16.150146484375,0.0
Euler,3.6875,16.971435546875,0.0
Euler,3.75,17.8212890625,0.0
Euler,3.8125,18.7001953125,0.0
Euler,3.875,19.608642578125,0.0
Euler,3.9375,20.547119140625,0.0
Euler,4.0,21.51611328125,0.0
Euler,4.0625,22.51611328125,0.0
Euler,4.125,23.547607421875,0.0
Euler,4.1875,24.611083984375,0.0
Euler,4.25,25.70703125,0.0
Euler,4.3125,26.8359375,0.0
Euler,4.375,27.998291015625,0.0
Euler,4.4375,29.194580078125,0.0
Euler,4.5,30.42529296875,0.0
Euler,4.5625,31.69091796875,0.0
Euler,4.625,32.991943359375,0.0
Euler,4.6875,34.328857421875,0.0
Euler,4.75,35.7021484375,0.0
Euler,4.8125,37.1123046875,0.0
Euler,4.875,38.559814453125,0.0
Euler,4.9375,40.045166015625,0.0
Euler,5.0,41.56884765625,0.0
Runge-Kutta 4-го порядка,1.0,1.0,0.0
Runge-Kutta 4-го порядка,1.0625,1.0664876302083333,0.0
Runge-Kutta 4-го порядка,1.125,1.1412760416666665,0.0
Runge-Kutta 4-го порядка,1.1875,1.2248535156249998,0.0
Runge-Kutta 4-го порядка,1.25,1.317708333333333,0.0
Runge-Kutta 4-го порядка,1.3125,1.4203287760416663,0.0
Runge-Kutta 4-го порядка,1.375,1.5332031249999996,0.0
Runge-Kutta 4-го порядка,1.40625,1.5936381022135413,0.0
Runge-Kutta 4-го порядка,1.4375,1.656819661458333,0.0
Runge-Kutta 4-го порядка,1.46875,1.7228088378906248,0.0
Runge-Kutta 4-го порядка,1.5,1.7916666666666665,0.0
Runge-Kutta 4-го порядка,1.53125,1.8634541829427083,0.0
Runge-Kutta 4-го порядка,1.5625,1.938232421875,0.0
Runge-Kutta 4-го порядка,1.59375,2.0160624186197915,0.0
Runge-Kutta 4-го порядка,1.625,2.097005208333333,0.0
Runge-Kutta 4-го порядка,1.65625,2.1811218261718746,0.0
Runge-Kutta 4-го порядка,1.6875,2.268473307291666,0.0
Runge-Kutta 4-го порядка,1.71875,2.3591206868489576,0.0
Runge-Kutta 4-го порядка,1.75,2.453124999999999,0.0
